timestamp	container	cpu_percent	mem_usage	mem_percent
2026-04-11T20:05:52+02:00	examples-proxy-1	81.59%	6.16MiB / 31.07GiB	0.02%
2026-04-11T20:05:54+02:00	examples-proxy-1	90.83%	6.371MiB / 31.07GiB	0.02%
2026-04-11T20:05:56+02:00	examples-proxy-1	91.59%	6.426MiB / 31.07GiB	0.02%
2026-04-11T20:05:58+02:00	examples-proxy-1	88.39%	6.328MiB / 31.07GiB	0.02%
2026-04-11T20:06:00+02:00	examples-proxy-1	83.37%	6.68MiB / 31.07GiB	0.02%
2026-04-11T20:06:02+02:00	examples-proxy-1	90.63%	6.641MiB / 31.07GiB	0.02%
2026-04-11T20:06:04+02:00	examples-proxy-1	96.13%	6.551MiB / 31.07GiB	0.02%
2026-04-11T20:06:06+02:00	examples-proxy-1	81.21%	6.594MiB / 31.07GiB	0.02%
2026-04-11T20:06:08+02:00	examples-proxy-1	91.59%	6.359MiB / 31.07GiB	0.02%
2026-04-11T20:06:10+02:00	examples-proxy-1	91.13%	6.074MiB / 31.07GiB	0.02%
2026-04-11T20:06:12+02:00	examples-proxy-1	89.89%	6.148MiB / 31.07GiB	0.02%
2026-04-11T20:06:14+02:00	examples-proxy-1	92.38%	7.023MiB / 31.07GiB	0.02%
2026-04-11T20:06:16+02:00	examples-proxy-1	84.30%	6.359MiB / 31.07GiB	0.02%
2026-04-11T20:06:18+02:00	examples-proxy-1	86.54%	6.531MiB / 31.07GiB	0.02%
2026-04-11T20:06:20+02:00	examples-proxy-1	90.13%	6.617MiB / 31.07GiB	0.02%
